id;authority_id;permission_id;granted_by;granted_date
17;1;14;system;2025-01-01T00:00:00
18;1;15;system;2025-01-01T00:00:00
19;1;16;system;2025-01-01T00:00:00
20;1;17;system;2025-01-01T00:00:00
21;1;18;system;2025-01-01T00:00:00
22;1;19;system;2025-01-01T00:00:00
23;1;20;system;2025-01-01T00:00:00
24;1;21;system;2025-01-01T00:00:00
25;1;22;system;2025-01-01T00:00:00
26;1;23;system;2025-01-01T00:00:00
27;1;24;system;2025-01-01T00:00:00
28;1;25;system;2025-01-01T00:00:00
29;1;26;system;2025-01-01T00:00:00
30;1;27;system;2025-01-01T00:00:00
31;1;28;system;2025-01-01T00:00:00
32;1;29;system;2025-01-01T00:00:00
33;1;30;system;2025-01-01T00:00:00
34;1;31;system;2025-01-01T00:00:00
35;1;32;system;2025-01-01T00:00:00
36;1;33;system;2025-01-01T00:00:00
37;1;34;system;2025-01-01T00:00:00
38;1;35;system;2025-01-01T00:00:00
39;1;36;system;2025-01-01T00:00:00
40;1;37;system;2025-01-01T00:00:00
41;1;38;system;2025-01-01T00:00:00
42;1;39;system;2025-01-01T00:00:00
43;1;40;system;2025-01-01T00:00:00
44;1;41;system;2025-01-01T00:00:00
45;1;42;system;2025-01-01T00:00:00
46;1;43;system;2025-01-01T00:00:00
47;1;44;system;2025-01-01T00:00:00
48;1;45;system;2025-01-01T00:00:00
49;1;46;system;2025-01-01T00:00:00
50;1;47;system;2025-01-01T00:00:00
